commit_hash,commit_timestamp,commit_user,commit_message,file_changed
d1cfd65be99f0ba79c437ac1a80a5428e21ec319,02-01-2024 21:17:41,Jakob Heyder,"chore: update docs, public repository",README.md
d1cfd65be99f0ba79c437ac1a80a5428e21ec319,02-01-2024 21:17:41,Jakob Heyder,"chore: update docs, public repository",docs/docusaurus/docusaurus.config.js
427cfc412d295a2b6ba78a5f02fe042de0fe5415,02-01-2024 21:22:31,Jakob Heyder,chore: update codeowners,CODEOWNERS
bb5ff7b8146558e939b8f186cf5a42130c8ad970,02-01-2024 22:14:16,Jakob Heyder,chore: update codeowners,CODEOWNERS
2456279d5b81b4acca050548e2989fad9a0bac7c,02-01-2024 21:47:32,GitHub,"Merge pull request #8 from BCG-X-Official/github-com/develop

chore: update docs, public repository",CODEOWNERS
2456279d5b81b4acca050548e2989fad9a0bac7c,02-01-2024 21:47:32,GitHub,"Merge pull request #8 from BCG-X-Official/github-com/develop

chore: update docs, public repository",README.md
2456279d5b81b4acca050548e2989fad9a0bac7c,02-01-2024 21:47:32,GitHub,"Merge pull request #8 from BCG-X-Official/github-com/develop

chore: update docs, public repository",docs/docusaurus/docusaurus.config.js
600f2fd3ba204c3cf7e18f5b6c37e5a64542033e,02-01-2024 22:16:06,GitHub,"Merge pull request #9 from BCG-X-Official/github-com/develop

chore: update codeowners",CODEOWNERS
e4af244b5bea610e1c0acf10b793cab91d73fafd,02-02-2024 10:08:09,Casper van Langen,fix: naming agentkit,.env.example
e4af244b5bea610e1c0acf10b793cab91d73fafd,02-02-2024 10:08:09,Casper van Langen,fix: naming agentkit,.github/workflows/main.yml.disabled
e4af244b5bea610e1c0acf10b793cab91d73fafd,02-02-2024 10:08:09,Casper van Langen,fix: naming agentkit,Makefile
e4af244b5bea610e1c0acf10b793cab91d73fafd,02-02-2024 10:08:09,Casper van Langen,fix: naming agentkit,backend/app/pyproject.toml
e4af244b5bea610e1c0acf10b793cab91d73fafd,02-02-2024 10:08:09,Casper van Langen,fix: naming agentkit,frontend/package.json
c474a4ab272bac5651b5b1ea8d9855b421ee1490,02-02-2024 09:33:09,Jakob Heyder,chore: update docs,README.md
c474a4ab272bac5651b5b1ea8d9855b421ee1490,02-02-2024 09:33:09,Jakob Heyder,chore: update docs,docker-compose-demo.yml
c474a4ab272bac5651b5b1ea8d9855b421ee1490,02-02-2024 09:33:09,Jakob Heyder,chore: update docs,docs/docusaurus/README.md
c474a4ab272bac5651b5b1ea8d9855b421ee1490,02-02-2024 09:33:09,Jakob Heyder,chore: update docs,docs/docusaurus/docs/introduction.md
c474a4ab272bac5651b5b1ea8d9855b421ee1490,02-02-2024 09:33:09,Jakob Heyder,chore: update docs,docs/docusaurus/docs/tutorial/tutorial.md
c474a4ab272bac5651b5b1ea8d9855b421ee1490,02-02-2024 09:33:09,Jakob Heyder,chore: update docs,docs/docusaurus/sidebars.js
5a567b5f89d7f1debe8397dbbc3d9c16bd8765e8,02-02-2024 09:35:53,GitHub,"Merge pull request #10 from BCG-X-Official/chore/docs

chore: update docs",README.md
5a567b5f89d7f1debe8397dbbc3d9c16bd8765e8,02-02-2024 09:35:53,GitHub,"Merge pull request #10 from BCG-X-Official/chore/docs

chore: update docs",docker-compose-demo.yml
5a567b5f89d7f1debe8397dbbc3d9c16bd8765e8,02-02-2024 09:35:53,GitHub,"Merge pull request #10 from BCG-X-Official/chore/docs

chore: update docs",docs/docusaurus/README.md
5a567b5f89d7f1debe8397dbbc3d9c16bd8765e8,02-02-2024 09:35:53,GitHub,"Merge pull request #10 from BCG-X-Official/chore/docs

chore: update docs",docs/docusaurus/docs/introduction.md
