pr_number,pr_title,pr_state,pr_user,pr_created_at,pr_updated_at,pr_closed_at,pr_merged_at,pr_merged,pr_num_additions,pr_num_deletions,pr_num_changed_files,pr_num_comments,pr_num_review_comments,pr_num_commits,pr_mergeable,pr_mergeable_state
2,pre commit config,closed,AitBaali-Hamza,05-30-2023 20:15:43,05-31-2023 10:04:14,05-31-2023 10:04:11,05-31-2023 10:04:11,True,127,59,2,2,0,3,False,unknown
3,Feat/sem ver versioning,closed,AitBaali-Hamza,05-31-2023 10:01:35,06-01-2023 12:41:54,06-01-2023 12:41:21,06-01-2023 12:41:21,True,233,85,2,0,3,33,False,unknown
4,generate client openai,closed,AitBaali-Hamza,05-31-2023 15:48:18,06-07-2023 12:28:12,06-02-2023 09:33:32,,False,2250,3,70,1,0,1,False,unknown
5,Arch flow added + initial setup for usage guide (still WIP),closed,vanLangen-Casper,06-01-2023 20:01:22,06-05-2023 09:13:00,06-02-2023 15:21:21,06-02-2023 15:21:21,True,38,3,1,0,0,1,False,unknown
6,Feat/authentification saving,closed,AitBaali-Hamza,06-02-2023 09:33:08,06-04-2023 19:38:35,06-04-2023 19:38:32,06-04-2023 19:38:32,True,718,315,23,0,12,21,False,unknown
7,[DRAFT] Chinook simple demo,closed,vanLangen-Casper,06-06-2023 13:47:28,06-08-2023 14:10:49,06-08-2023 14:10:49,06-08-2023 14:10:49,True,35403,615,37,0,5,14,False,unknown
8,Demo/explain bot,closed,Scheel-Bech-Jacob,06-06-2023 14:25:27,06-06-2023 14:29:35,06-06-2023 14:29:35,06-06-2023 14:29:35,True,244,25,15,0,0,5,False,dirty
9,[INTEGRATION] Plan AI Supply integration,closed,Fournier-Thomas,06-06-2023 19:43:14,06-08-2023 15:57:49,06-08-2023 15:57:49,,False,547,564,4,0,0,1,False,unknown
10,Feat/save config,closed,Fournier-Thomas,06-06-2023 21:18:02,06-08-2023 09:46:11,06-08-2023 09:46:11,,False,63,8,5,0,1,2,False,dirty
11,Custom Login page and API Key (+ validation of the key) + user profile pic,closed,AitBaali-Hamza,06-07-2023 12:16:24,06-08-2023 10:05:10,06-08-2023 10:05:07,06-08-2023 10:05:07,True,1704,44,19,0,4,4,False,unknown
12,[DEMO] Alpha,closed,Fournier-Thomas,06-07-2023 14:56:36,06-15-2023 11:35:47,06-15-2023 11:35:47,,False,1271,649,20,0,0,7,False,unknown
13,[DEMO] Alpha with visuals,closed,Fournier-Thomas,06-08-2023 22:20:31,06-21-2023 15:21:22,06-21-2023 15:21:22,,False,3757,1000,66,0,0,36,False,dirty
14,Chinook fine tuning,closed,vanLangen-Casper,06-09-2023 10:40:51,06-19-2023 16:22:54,06-19-2023 16:22:54,06-19-2023 16:22:54,True,16,11,4,0,0,1,False,unknown
15,[DEMO] Alpha Sanitized,closed,Fournier-Thomas,06-15-2023 11:35:34,06-20-2023 15:50:17,06-20-2023 15:50:17,,False,341,118,15,0,0,5,False,unknown
16,[FEATURE] IO Parsing,closed,Fournier-Thomas,06-16-2023 14:07:24,08-11-2023 13:55:42,08-11-2023 13:55:42,,False,236,36,5,6,3,5,False,dirty
17,Feat/azure model,closed,heyder-jakob,06-19-2023 16:39:29,06-21-2023 07:05:06,06-21-2023 07:05:06,06-21-2023 07:05:06,True,28,29,5,0,3,2,False,unknown
18,Ft/backend config runopt,closed,AitBaali-Hamza,06-20-2023 09:26:16,06-20-2023 09:27:50,06-20-2023 09:27:50,06-20-2023 09:27:50,True,8801,486,71,0,0,31,False,unknown
19,Draft contribution guidelines,closed,vanLangen-Casper,06-21-2023 15:24:51,06-27-2023 15:58:19,06-27-2023 15:58:19,06-27-2023 15:58:19,True,46,2,2,1,2,2,False,unknown
21,Ft/backend config runopt,closed,AitBaali-Hamza,06-22-2023 10:39:47,06-22-2023 10:41:01,06-22-2023 10:41:01,,False,10387,1033,76,0,0,32,False,dirty
22,Update/develop with last changes,closed,AitBaali-Hamza,06-23-2023 12:35:16,06-23-2023 14:52:46,06-23-2023 14:52:43,06-23-2023 14:52:43,True,836,300,41,0,4,3,False,unknown
23,Tools documentation,closed,vanLangen-Casper,06-23-2023 14:32:29,06-29-2023 11:03:03,06-29-2023 10:33:24,06-29-2023 10:33:24,True,217,218,9,0,6,11,False,unknown
25,Ft/clarify tool,closed,Scheel-Bech-Jacob,06-26-2023 14:33:53,08-14-2023 12:56:20,08-14-2023 12:56:20,,False,89,3,4,4,0,9,False,dirty
27,add evaluation framework,closed,Scheel-Bech-Jacob,06-27-2023 12:16:45,06-30-2023 14:51:02,06-30-2023 14:51:02,06-30-2023 14:51:02,True,1003,1,10,2,0,3,False,unknown
28,Feat: Update langchain version to support ChatModel caching,closed,heyder-jakob,06-27-2023 16:23:08,07-05-2023 09:25:26,07-05-2023 09:25:26,07-05-2023 09:25:26,True,28,9,2,0,0,1,False,unknown
29,Readme & .env.example fixes for Chinook set up,closed,vanLangen-Casper,06-27-2023 17:41:11,06-28-2023 12:27:01,06-28-2023 12:27:01,,False,33,23,8,0,0,1,False,unknown
30,[Do not merge] Comparing files for debugging,closed,vanLangen-Casper,06-28-2023 10:41:03,06-28-2023 12:27:01,06-28-2023 12:27:01,,False,13908,1151,139,0,0,77,False,dirty
31,Feat/alpha visuals,closed,Fournier-Thomas,06-28-2023 12:16:51,06-28-2023 16:01:44,06-28-2023 16:01:44,,False,9074,6400,206,0,0,60,True,blocked
32,"Caddy fix, API key default fix, .env.example updates for Chinook",closed,vanLangen-Casper,06-28-2023 12:22:32,07-07-2023 16:35:24,07-07-2023 16:35:22,07-07-2023 16:35:22,True,190,101,16,0,31,12,False,unknown
38,Rebuild sql info file if set in config,closed,vanLangen-Casper,06-30-2023 17:06:22,07-02-2023 18:19:46,07-02-2023 18:19:46,07-02-2023 18:19:46,True,16,13,5,0,0,1,False,unknown
39,Fixes for contributor dev environment setup,closed,Connell-Liam,07-05-2023 15:28:34,07-05-2023 21:31:11,07-05-2023 21:30:48,,False,81,39,12,0,0,7,False,dirty
40,Fix minor issues with local environment setup,closed,Connell-Liam,07-05-2023 21:29:57,08-11-2023 13:36:39,08-11-2023 13:36:39,,False,72,35,11,4,0,2,False,dirty
41,Feat/image generation,closed,Jia-Valerie,07-11-2023 11:34:37,07-11-2023 12:51:12,07-11-2023 12:45:49,,False,243,44806,139,0,0,7,False,unknown
42,Feat/image generation,closed,Jia-Valerie,07-11-2023 14:07:31,08-10-2023 10:39:05,08-10-2023 10:39:05,08-10-2023 10:39:05,True,301,1,12,0,0,5,False,unknown
